L, J, Vol, γ, λ1, Λ1
2.9265e+00, 3.0731e+00, -1.8633e-02, 1.0000e-01, -7.7930e+00, 8.3127e+00
2.9296e+00, 3.0924e+00, -2.1122e-02, 1.0000e-01, -7.6175e+00, 9.1440e+00
2.9224e+00, 3.0187e+00, -1.2732e-02, 1.0000e-01, -7.5011e+00, 9.1440e+00
2.9258e+00, 3.0625e+00, -1.8433e-02, 1.0000e-01, -7.3325e+00, 9.1440e+00
2.9179e+00, 2.9828e+00, -8.8965e-03, 1.0000e-01, -7.2512e+00, 9.1440e+00
2.9210e+00, 3.0224e+00, -1.4112e-02, 1.0000e-01, -7.1221e+00, 9.1440e+00
2.9130e+00, 2.9477e+00, -4.8888e-03, 1.0000e-01, -7.0774e+00, 9.1440e+00
2.9163e+00, 3.0028e+00, -1.2307e-02, 1.0000e-01, -6.9649e+00, 9.1440e+00
2.9081e+00, 2.9251e+00, -2.4400e-03, 1.0000e-01, -6.9426e+00, 9.1440e+00
2.9116e+00, 2.9806e+00, -1.0004e-02, 1.0000e-01, -6.8511e+00, 9.1440e+00
2.9036e+00, 2.9051e+00, -2.1982e-04, 1.0000e-01, -6.8491e+00, 9.1440e+00
2.9024e+00, 2.9473e+00, -6.5823e-03, 7.5000e-02, -6.7889e+00, 9.1440e+00
2.9002e+00, 2.8879e+00, 1.7998e-03, 7.5000e-02, -6.8053e+00, 9.1440e+00
2.8988e+00, 2.9404e+00, -6.1321e-03, 7.5000e-02, -6.7493e+00, 9.1440e+00
2.8975e+00, 2.8766e+00, 3.0833e-03, 7.5000e-02, -6.7775e+00, 9.1440e+00
2.8956e+00, 2.9328e+00, -5.5125e-03, 7.5000e-02, -6.7271e+00, 9.1440e+00
2.8945e+00, 2.8694e+00, 3.7141e-03, 7.5000e-02, -6.7610e+00, 9.1440e+00
2.8925e+00, 2.9279e+00, -5.2578e-03, 7.5000e-02, -6.7129e+00, 9.1440e+00
2.8923e+00, 2.8632e+00, 4.3141e-03, 7.5000e-02, -6.7524e+00, 9.1440e+00
2.8897e+00, 2.9231e+00, -4.9609e-03, 7.5000e-02, -6.7070e+00, 9.1440e+00
2.8897e+00, 2.8596e+00, 4.4748e-03, 7.5000e-02, -6.7479e+00, 9.1440e+00
2.8871e+00, 2.9205e+00, -4.9664e-03, 7.5000e-02, -6.7025e+00, 9.1440e+00
2.8879e+00, 2.8559e+00, 4.7488e-03, 7.5000e-02, -6.7460e+00, 9.1440e+00
2.8849e+00, 2.9173e+00, -4.8218e-03, 7.5000e-02, -6.7019e+00, 9.1440e+00
2.8855e+00, 2.8542e+00, 4.6515e-03, 7.5000e-02, -6.7444e+00, 9.1440e+00
2.8826e+00, 2.9159e+00, -4.9498e-03, 7.5000e-02, -6.6991e+00, 9.1440e+00
2.8840e+00, 2.8521e+00, 4.7454e-03, 7.5000e-02, -6.7425e+00, 9.1440e+00
2.8807e+00, 2.9135e+00, -4.8804e-03, 7.5000e-02, -6.6979e+00, 9.1440e+00
2.8818e+00, 2.8514e+00, 4.5151e-03, 7.5000e-02, -6.7392e+00, 9.1440e+00
2.8788e+00, 2.9126e+00, -5.0329e-03, 7.5000e-02, -6.6932e+00, 9.1440e+00
2.8804e+00, 2.8498e+00, 4.5553e-03, 7.5000e-02, -6.7348e+00, 9.1440e+00
2.8772e+00, 2.9105e+00, -4.9618e-03, 7.5000e-02, -6.6895e+00, 9.1440e+00
2.8784e+00, 2.8495e+00, 4.3189e-03, 7.5000e-02, -6.7289e+00, 9.1440e+00
2.8756e+00, 2.9097e+00, -5.0908e-03, 7.5000e-02, -6.6824e+00, 9.1440e+00
2.8773e+00, 2.8480e+00, 4.3673e-03, 7.5000e-02, -6.7223e+00, 9.1440e+00
2.8743e+00, 2.9077e+00, -4.9845e-03, 7.5000e-02, -6.6768e+00, 9.1440e+00
2.8755e+00, 2.8478e+00, 4.1487e-03, 7.5000e-02, -6.7147e+00, 9.1440e+00
2.8729e+00, 2.9069e+00, -5.0702e-03, 7.5000e-02, -6.6683e+00, 9.1440e+00
2.8741e+00, 2.8471e+00, 4.0416e-03, 7.5000e-02, -6.7053e+00, 9.1440e+00
2.8718e+00, 2.9055e+00, -5.0485e-03, 7.5000e-02, -6.6591e+00, 9.1440e+00
2.8707e+00, 2.8589e+00, 1.7792e-03, 5.6250e-02, -6.6754e+00, 9.1440e+00
2.8700e+00, 2.8956e+00, -3.8450e-03, 5.6250e-02, -6.6402e+00, 9.1440e+00
2.8701e+00, 2.8534e+00, 2.5031e-03, 5.6250e-02, -6.6631e+00, 9.1440e+00
2.8687e+00, 2.8914e+00, -3.4135e-03, 5.6250e-02, -6.6319e+00, 9.1440e+00
2.8694e+00, 2.8496e+00, 2.9720e-03, 5.6250e-02, -6.6591e+00, 9.1440e+00
2.8676e+00, 2.8889e+00, -3.2065e-03, 5.6250e-02, -6.6298e+00, 9.1440e+00
2.8686e+00, 2.8471e+00, 3.2386e-03, 5.6250e-02, -6.6594e+00, 9.1440e+00
2.8665e+00, 2.8873e+00, -3.1339e-03, 5.6250e-02, -6.6307e+00, 9.1440e+00
2.8679e+00, 2.8456e+00, 3.3585e-03, 5.6250e-02, -6.6614e+00, 9.1440e+00
2.8655e+00, 2.8863e+00, -3.1354e-03, 5.6250e-02, -6.6328e+00, 9.1440e+00
2.8672e+00, 2.8446e+00, 3.3900e-03, 5.6250e-02, -6.6638e+00, 9.1440e+00
2.8646e+00, 2.8857e+00, -3.1720e-03, 5.6250e-02, -6.6348e+00, 9.1440e+00
2.8665e+00, 2.8441e+00, 3.3666e-03, 5.6250e-02, -6.6655e+00, 9.1440e+00
2.8637e+00, 2.8851e+00, -3.2198e-03, 5.6250e-02, -6.6361e+00, 9.1440e+00
2.8658e+00, 2.8437e+00, 3.3158e-03, 5.6250e-02, -6.6664e+00, 9.1440e+00
2.8629e+00, 2.8847e+00, -3.2741e-03, 5.6250e-02, -6.6365e+00, 9.1440e+00
2.8651e+00, 2.8435e+00, 3.2475e-03, 5.6250e-02, -6.6662e+00, 9.1440e+00
2.8622e+00, 2.8843e+00, -3.3303e-03, 5.6250e-02, -6.6357e+00, 9.1440e+00
2.8644e+00, 2.8433e+00, 3.1693e-03, 5.6250e-02, -6.6647e+00, 9.1440e+00
2.8615e+00, 2.8840e+00, -3.3759e-03, 5.6250e-02, -6.6338e+00, 9.1440e+00
2.8638e+00, 2.8432e+00, 3.0966e-03, 5.6250e-02, -6.6621e+00, 9.1440e+00
2.8609e+00, 2.8835e+00, -3.4016e-03, 5.6250e-02, -6.6310e+00, 9.1440e+00
2.8632e+00, 2.8430e+00, 3.0269e-03, 5.6250e-02, -6.6587e+00, 9.1440e+00
2.8604e+00, 2.8831e+00, -3.4127e-03, 5.6250e-02, -6.6275e+00, 9.1440e+00
2.8626e+00, 2.8430e+00, 2.9570e-03, 5.6250e-02, -6.6546e+00, 9.1440e+00
2.8600e+00, 2.8826e+00, -3.4124e-03, 5.6250e-02, -6.6233e+00, 9.1440e+00
2.8621e+00, 2.8429e+00, 2.8903e-03, 5.6250e-02, -6.6498e+00, 9.1440e+00
2.8596e+00, 2.8821e+00, -3.3972e-03, 5.6250e-02, -6.6187e+00, 9.1440e+00
2.8601e+00, 2.8514e+00, 1.3181e-03, 4.2188e-02, -6.6308e+00, 9.1440e+00
2.8591e+00, 2.8775e+00, -2.7821e-03, 4.2188e-02, -6.6053e+00, 9.1440e+00
2.8599e+00, 2.8488e+00, 1.6756e-03, 4.2188e-02, -6.6206e+00, 9.1440e+00
2.8586e+00, 2.8748e+00, -2.4481e-03, 4.2188e-02, -6.5983e+00, 9.1440e+00
2.8597e+00, 2.8468e+00, 1.9517e-03, 4.2188e-02, -6.6161e+00, 9.1440e+00
2.8582e+00, 2.8732e+00, -2.2670e-03, 4.2188e-02, -6.5954e+00, 9.1440e+00
2.8594e+00, 2.8455e+00, 2.1011e-03, 4.2188e-02, -6.6146e+00, 9.1440e+00
2.8578e+00, 2.8722e+00, -2.1851e-03, 4.2188e-02, -6.5946e+00, 9.1440e+00
2.8590e+00, 2.8447e+00, 2.1625e-03, 4.2188e-02, -6.6144e+00, 9.1440e+00
2.8573e+00, 2.8716e+00, -2.1628e-03, 4.2188e-02, -6.5946e+00, 9.1440e+00
2.8587e+00, 2.8444e+00, 2.1653e-03, 4.2188e-02, -6.6144e+00, 9.1440e+00
2.8569e+00, 2.8713e+00, -2.1750e-03, 4.2188e-02, -6.5945e+00, 9.1440e+00
2.8584e+00, 2.8442e+00, 2.1391e-03, 4.2188e-02, -6.6141e+00, 9.1440e+00
2.8566e+00, 2.8711e+00, -2.1991e-03, 4.2188e-02, -6.5940e+00, 9.1440e+00
2.8580e+00, 2.8442e+00, 2.1018e-03, 4.2188e-02, -6.6132e+00, 9.1440e+00
2.8563e+00, 2.8710e+00, -2.2234e-03, 4.2188e-02, -6.5929e+00, 9.1440e+00
2.8577e+00, 2.8441e+00, 2.0639e-03, 4.2188e-02, -6.6117e+00, 9.1440e+00
2.8560e+00, 2.8708e+00, -2.2407e-03, 4.2188e-02, -6.5912e+00, 9.1440e+00
2.8574e+00, 2.8441e+00, 2.0280e-03, 4.2188e-02, -6.6098e+00, 9.1440e+00
2.8557e+00, 2.8706e+00, -2.2521e-03, 4.2188e-02, -6.5892e+00, 9.1440e+00
2.8572e+00, 2.8440e+00, 1.9944e-03, 4.2188e-02, -6.6074e+00, 9.1440e+00
2.8555e+00, 2.8704e+00, -2.2548e-03, 4.2188e-02, -6.5868e+00, 9.1440e+00
2.8569e+00, 2.8439e+00, 1.9686e-03, 4.2188e-02, -6.6048e+00, 9.1440e+00
2.8553e+00, 2.8701e+00, -2.2498e-03, 4.2188e-02, -6.5842e+00, 9.1440e+00
2.8567e+00, 2.8439e+00, 1.9474e-03, 4.2188e-02, -6.6020e+00, 9.1440e+00
2.8551e+00, 2.8699e+00, -2.2401e-03, 4.2188e-02, -6.5816e+00, 9.1440e+00
2.8565e+00, 2.8438e+00, 1.9290e-03, 4.2188e-02, -6.5992e+00, 9.1440e+00
2.8549e+00, 2.8696e+00, -2.2279e-03, 4.2188e-02, -6.5788e+00, 9.1440e+00
2.8551e+00, 2.8501e+00, 7.5389e-04, 3.1641e-02, -6.5857e+00, 9.1440e+00
2.8546e+00, 2.8676e+00, -1.9877e-03, 3.1641e-02, -6.5675e+00, 9.1440e+00
2.8548e+00, 2.8486e+00, 9.3875e-04, 3.1641e-02, -6.5761e+00, 9.1440e+00
2.8543e+00, 2.8662e+00, -1.8194e-03, 3.1641e-02, -6.5595e+00, 9.1440e+00
2.8546e+00, 2.8474e+00, 1.0881e-03, 3.1641e-02, -6.5694e+00, 9.1440e+00
2.8541e+00, 2.8652e+00, -1.7012e-03, 3.1641e-02, -6.5539e+00, 9.1440e+00
2.8544e+00, 2.8466e+00, 1.1870e-03, 3.1641e-02, -6.5647e+00, 9.1440e+00
2.8539e+00, 2.8645e+00, -1.6215e-03, 3.1641e-02, -6.5499e+00, 9.1440e+00
2.8542e+00, 2.8461e+00, 1.2472e-03, 3.1641e-02, -6.5613e+00, 9.1440e+00
2.8537e+00, 2.8640e+00, -1.5703e-03, 3.1641e-02, -6.5470e+00, 9.1440e+00
2.8541e+00, 2.8457e+00, 1.2799e-03, 3.1641e-02, -6.5587e+00, 9.1440e+00
2.8535e+00, 2.8636e+00, -1.5394e-03, 3.1641e-02, -6.5446e+00, 9.1440e+00
2.8539e+00, 2.8454e+00, 1.2941e-03, 3.1641e-02, -6.5564e+00, 9.1440e+00
2.8534e+00, 2.8634e+00, -1.5216e-03, 3.1641e-02, -6.5425e+00, 9.1440e+00
2.8538e+00, 2.8453e+00, 1.2976e-03, 3.1641e-02, -6.5544e+00, 9.1440e+00
2.8533e+00, 2.8631e+00, -1.5103e-03, 3.1641e-02, -6.5406e+00, 9.1440e+00
2.8536e+00, 2.8452e+00, 1.2954e-03, 3.1641e-02, -6.5524e+00, 9.1440e+00
2.8531e+00, 2.8630e+00, -1.5017e-03, 3.1641e-02, -6.5387e+00, 9.1440e+00
2.8535e+00, 2.8451e+00, 1.2921e-03, 3.1641e-02, -6.5505e+00, 9.1440e+00
2.8530e+00, 2.8628e+00, -1.4919e-03, 3.1641e-02, -6.5369e+00, 9.1440e+00
2.8534e+00, 2.8450e+00, 1.2899e-03, 3.1641e-02, -6.5486e+00, 9.1440e+00
2.8529e+00, 2.8626e+00, -1.4810e-03, 3.1641e-02, -6.5351e+00, 9.1440e+00
2.8533e+00, 2.8449e+00, 1.2877e-03, 3.1641e-02, -6.5469e+00, 9.1440e+00
2.8528e+00, 2.8624e+00, -1.4707e-03, 3.1641e-02, -6.5334e+00, 9.1440e+00
2.8532e+00, 2.8448e+00, 1.2849e-03, 3.1641e-02, -6.5452e+00, 9.1440e+00
2.8527e+00, 2.8623e+00, -1.4613e-03, 3.1641e-02, -6.5318e+00, 9.1440e+00
2.8531e+00, 2.8447e+00, 1.2816e-03, 3.1641e-02, -6.5435e+00, 9.1440e+00
2.8527e+00, 2.8622e+00, -1.4531e-03, 3.1641e-02, -6.5302e+00, 9.1440e+00
2.8527e+00, 2.8487e+00, 6.1773e-04, 2.3730e-02, -6.5359e+00, 9.1440e+00
2.8526e+00, 2.8603e+00, -1.1822e-03, 2.3730e-02, -6.5251e+00, 9.1440e+00
2.8527e+00, 2.8474e+00, 8.0785e-04, 2.3730e-02, -6.5325e+00, 9.1440e+00
2.8525e+00, 2.8593e+00, -1.0493e-03, 2.3730e-02, -6.5229e+00, 9.1440e+00
2.8526e+00, 2.8467e+00, 8.9252e-04, 2.3730e-02, -6.5310e+00, 9.1440e+00
